,ABCC4,ABL1,ADAM19,AFG3L2,ANXA2,ANXA2P2,APOC1,APOL4,AREG,ARRDC3,ASF1A,ATF3,ATG4B,ATHL1,ATP6V0D1,ATP6V0E2,BCL11A,BHLHE40,BIN1,BST2,BTG3,C10orf128,C16orf54,C1orf186,C1orf228,C1orf54,C2orf27A,C2orf68,C6orf25,CAD,CCDC152,CCDC42,CCNL1,CD164,CD33,CD69,CD9,CDC42,CDCA7,CDH2,CFHR1,CKS2,CMTM3,COQ10B,CPA3,CPSF6,CPVL,CRHBP,CRYGD,CTNNB1,CXCR4,CXXC1,CYCS,CYP51A1,DLC1,DLK1,DNAJC12,DNTT,DUSP1,DUSP10,DUXAP10,DUXAP8,ELK3,ELOVL6,ENGASE,ERAP2,EZH2,FAIM3,FAM120A,FAM133A,FAM188A,FAM19A2,FAM47E,FHL1,FLT3,FNBP4,FOS,FREM1,FRY,FTH1,GALNT1,GAS2,GIMAP7,GLRX5,GMDS,GNAS,GOLGA8A,GOLGA8B,GOLGA8S,GPKOW,HCST,HDLBP,HERC2P2,HERC2P7,HERC2P9,HES1,HIST1H2AK,HIST1H2BG,HIST2H2AA3+HIST2H2AA4,HIST3H2BB,HLA-E,HNRNPAB,HNRNPD,HNRNPL,HNRNPUL2,HOPX,HTATSF1,HYOU1,ID1,ID2,ID3,IER5,IFITM1,IL1RAP,IRF2BP2,ITGA2B,KCNA3,KIAA0125,KIT,KYNU,LAPTM4B,LDB1,LGALS1,LIMCH1,LINC-PINT,LINC01296,LOC101928834,LOC154761,LRRC70,MAF,MAFIP,MAGED2,MAP4K4,MARCKS,MED4-AS1,MIR221,MMRN1,MPDZ,MPL,MRPL16,MYCN,MYCT1,NCF4,NET1,NFKBIA,NFKBIE,NOG,NUBP1,OGFRL1,PCDH9,PDE4B,PDLIM1,PIEZO2,PLAG1,PLAU,PPIF,PPM1A,PPP1CC,PPP1R14B,PRKAR2B,PRKD2,PRKG1,PROM1,PROSER1,PRSS1,PRSS21,PRSS3,PRSS3P2,PTBP3,PTPRD,PTPRS,QSOX1,RAB31,RANBP9,RGS1,RHOB,RIPK2,RNA5-8S5,ROGDI,RTN4,RXFP1,S100A10,SAT1,SCN2A,SCN9A,SDK2,SDPR,SELL,SELM,SEPP1,11-Sep,SIK1,SLA,SMARCC1,SNHG15,SNHG3,SNHG9,SOCS2,SORT1,SPG20,SPNS1,SQLE,SRM,STAT4,STK17B,STON2,STXBP5,TAGLN2,TCTEX1D1,TEKT4P2,TFRC,TLR3,TOB1,TOMM40,TPSAB1,TPSB2,TPSD1,TRA2B,TSC22D1,TSC22D3,TTC34,TUBB4B,TUBB6,VPREB1,VWF,YBX1,YDJC,YIF1B,YKT6,ZC3H12C,ZFP36L2,ZKSCAN1,ZNF200,ZNF317
OX2046H9,0,0,0,0,1.12766973,0,0,5.586979378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.751500506,2.443171556,0,0,0,7.289496139,0,0,0,0,0,0,0,13.68633702,0,0,0,0,0,0,8.101928081,0,0,0,0,0,0,6.653012572,11.3122948,0,2.686608603,3.875161764,0,0,0,8.295630967,0,0,0,0,0,0,0,0,0,9.988948598,0,0,3.738121142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04552116,8.450104374,0,8.640396097,0,0,5.460406363,0,0,0,0,0,0,9.440321984,0,8.154503736,0,7.728919408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.071733269,0,0,0,0,1.634703014,0,0,0,0,0,0,0,0,0,0,0,10.63789152,0,0,0,0,0,0,0,0,0,0,0,0,0,10.73707229,0,9.513005127,11.23212736,0,0,0,0,0,2.494584467,0,5.663554482,0,7.198925802,0,0,0,0,10.86974221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.12627439,0,0,0,0,0,0,0,8.909002589,0,0,0,0,0,0,0,0,0,0,0,0,8.071752777,0,6.626999114,0,0,0,0,0,0,0,0,0,0,0,0,0
OX2046E1,0,0,8.589759651,0,0,0,0,0,0,0,0,0,0,0,0,0,8.913559047,0,0,0,0,0,0,0,0,2.001484848,0,1.151119818,0,0,0,0,0,0,0,12.57374049,0,0,0,0,0,0,0,0,0,3.746302778,0,0,0,0,0,0,0,0,0,0,0,1.731792752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.950883811,0,0,12.11252309,0,0,11.3025947,0,0,0,0,0,0,0,0,0,0,1.556604872,0,0,0,8.089889257,0,0,8.165482244,0,0,0,0,0,11.32274028,9.201275913,0,13.58204564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.780043103,0,0,0,1.167493513,10.97380038,0,0,0,0,0,7.654680869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.895346431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.77057138,0,0,0,0,0,0,0,5.600302956,0,0,0,0,0,0,0,0,0,0,0,0,0,10.16484454,0,4.206353629,0,1.077914376,0,8.287550583,0,0,1.553471982,0,0,0,0,0
OX2046H3,0,0,0,0,2.132527857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.813472143,1.587093721,0,0,0,0,7.74580183,0,11.20315254,6.262074356,9.616201615,0,0,0,0,0,1.465464276,0,0,0,0,0,7.019609972,0,0,0,1.740955853,0,0,0,3.005102787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.71381884,0,0,0,0,0,6.144754636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.06449298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.241524582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.181194834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.848311816,9.368363369,10.25948404,0,0,0,0,0,0,9.562741636,8.62238419,0,0,0,0,0,0,0,0,0,0,0,0,0,1.358893741,0,0,0,2.088190004,0,4.175597951,0,0,0,0,0,0,0,0
OX2046F11,0,0,0,0,2.760942332,0,0,0,0,0,0,0,0,0,0,0,9.975962341,0,0,0,0,0,1.127553656,0,0,0,0,0,2.100030978,0,0,0,0,0,0,12.02242645,0,8.872445994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36219201,1.883943501,0,0,0,8.912026287,11.29904129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.17722203,0,11.28332717,0,0,12.48834969,0,0,0,0,0,0,0,0,0,11.93700044,0,0,0,9.712109607,0,0,0,0,0,0,0,0,0,6.066257924,0,0,0,0,0,0,0,0,2.983799016,0,0,0,0,0,0,0,0,0,0,0,9.589528028,0,0,0,0,5.61493972,0,0,0,0,0,0,0,0,0,2.625184084,0,0,0,0,0,0,0,0,0,0,0,11.81381987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.36282006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.445317807,0,10.43588974,0,0,0,0,1.37605541,1.494353537,0,0,0,0,0,0,0,0,0,0,0,0,0,1.538890987,0,0,0,12.36944945,0,0,0,0,0,0,9.446053156,8.431233944,0,0
OX2046F4,0,0,0,0,10.40372835,7.755901654,0,0,0,8.693917642,0,0,6.93829218,0,0,7.633085554,0,0,0,0,0,0,9.675565032,0,0,0,0,8.381883614,0,0,0,0,0,0,5.621240225,2.761616944,0,8.699602395,0,0,0,0,0,0,0,0,0,0,0,8.502167576,0,0,0,6.627438738,0,0,0,10.32076587,1.872758443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.574688734,0,0,9.742410545,0,0,0,3.510223564,0,1.671261418,0,0,0,0,7.908219438,0,0,0,0,0,0,0,9.612679417,0,0,0,0,5.011809025,0,0,0,0,0,0,0,0,2.270387035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.423186163,0,0,8.663961453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.731263665,0,0,10.01985508,0,0,0,0,8.69650571,0,0,0,0,0,0,12.2978072,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OX2046E4,0,0,0,0,10.03995616,7.447656758,0,0,0,0,0,0,0,0,9.910559468,0,7.492043414,0,0,0,0,0,0,0,0,0,0,0,1.794898539,0,0,0,0,0,6.102078174,11.52888768,0,9.461615986,0,0,0,0,0,0,0,0,0,0,0,8.014685466,0,0,0,1.282761599,0,0,0,1.321841976,3.363500144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.17491912,0,0,3.913299517,0,0,8.445848362,0,0,0,0,0,5.809859202,0,0,0,0,0,0,0,0,1.061308268,0,0,4.258625144,0,0,0,0,0,10.49765041,0,0,5.57826468,0,8.131158258,0,8.60153368,0,0,0,0,0,0,0,0,0,0,0,9.836921227,0,0,0,0,8.133502033,0,0,0,0,0,2.107057921,0,0,0,6.916190674,11.09279536,0,0,0,0,0,0,11.46090292,0,0,0,0,0,0,5.522444192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.01679567,10.60878374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.074396569,0,0,0,0,0,0,7.239183004,0,0,9.678193376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.562483789,0,0,0
OX2046C4,0,0,0,0,1.16524263,0,0,2.43341079,0,0,0,0,0,3.180283991,0,0,0,9.604440047,0,0,0,0,0,0,0,10.49903236,0,0,0,0,0,0,0,0,0,12.9013703,0,0,0,0,0,0,0,4.990032145,0,2.548285079,0,0,0,7.196160517,0,0,1.746901579,7.805256969,0,0,0,6.830065589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.638731925,0,0,10.18732372,0,0,9.77679456,0,0,0,0,0,0,0,8.423939514,0,0,0,0,8.450029986,0,0,0,0,6.274745864,0,0,0,0,0,0,0,0,13.30065901,0,8.39039705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.103637418,0,0,0,0,0,0,0,0,0,2.491770024,11.11756482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.675993139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.621645521,6.696414353,0,0,0,0,0,0,6.599532973,7.248921877,0,0,0,0,7.58845631,0,9.055299979,0,0,0,0,0,0,0,5.088887326,0,0,0,0,0,7.87032998,0,0,0,0,0,0,0
OX2046E2,0,0,0,0,1.027247052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.14585451,0,0,0,0,0,0,0,9.640808758,0,0,0,0,5.669496909,0,0,12.23976375,0,0,0,0,0,0,0,1.097149065,0,4.877648036,0,0,0,0,12.40886204,0,3.957634155,1.472176315,0,0,0,12.49172096,9.382989859,0,0,0,0,0,0,0,0,9.865761614,0,0,0,0,0,0,0,6.225782863,0,0,0,11.81342409,5.241204152,0,10.2635941,0,0,1.918458429,0,0,0,0,0,0,0,0,0,0,0,0,6.669860008,0,3.393680938,0,0,4.800025189,0,0,6.860455401,2.262695626,0,0,0,0,12.97066356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.006966021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083138862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.09622642,0,0,0,0,0,0,8.731070438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.42705135,0,0,0,1.304837293,0,0,0,0,0,0,7.646748426,0,0,0
OX2046H7,7.183873297,8.532295377,0,0,0,0,0,6.392731769,0,0,0,0,0,0,0,0,9.508718919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41855873,0,10.41154186,0,0,0,0,0,0,0,0,0,1.608380841,0,0,0,7.840048236,0,0,1.209845431,6.992010778,0,0,0,10.12622681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0303811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.323283442,6.124083358,0,6.265720044,0,0,8.399674094,0,0,9.118892111,0,0,12.23105681,0,7.457469187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.975318792,0,0,0,0,0,0,0,0,1.256898322,0,0,0,0,0,0,0,0,0,0,0,0,9.224834838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.09344055,0,0,0,0,0,0,6.578742461,7.06032653,0,0,0,0,0,0,0,0,0,0,0,0,0,7.549161946,0,0,0,0,0,9.826774154,0,0,0,0,0,0,0,0
OX2046C11,0,0,0,0,11.21285368,8.534287954,0,0,0,0,0,0,0,0,0,0,9.045459676,0,0,0,0,0,0,0,0,0,0,7.178231499,0,0,0,0,0,9.827769075,0,0,0,9.876294372,0,0,0,0,0,0,0,5.641322527,0,0,0,7.263874286,0,0,3.034775726,3.479256406,0,0,0,11.72685454,0,0,0,0,8.199781075,0,0,0,0,8.843304155,0,0,0,0,0,0,8.403367634,3.219881788,0,0,0,10.4119233,0,0,0,0,0,10.21862693,0,6.415567936,0,0,0,0,0,1.003466179,0,0,0,0,8.983220589,0,0,0,0,5.843011309,0,0,0,0,0,0,0,0,11.44905251,0,5.235594735,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3667882,0,0,8.544054897,0,7.764485878,0,0,0,0,0,8.424484376,0,0,0,0,0,0,8.768653262,0,0,0,7.475566796,0,0,0,0,0,0,0,0,0,2.009996246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.613381874,0,5.343394388,0,0,0,0,7.852745665,0,0,0,0,0,0,0,0,11.06791241,0,0,0,0,0,0,9.328556132,0,0,10.39712212,0,0,0,0,0,0,0,0,0,0,0,10.60052929,0,0,0,10.6822819,0,0,0,0,0,0,8.586180653,0,0,0
